# sec(z), Tsys/Tatm, Tr, fit
1.36511 0.15842 36.33494 0.13797
1.36733 0.14443 32.12398 0.13802
1.36956 0.20336 49.79042 0.13807
1.37180 0.14272 31.58543 0.13811
1.37406 0.08169 13.26368 0.13816
1.37632 0.16335 37.74564 0.13821
1.37860 0.18037 42.84011 0.13825
1.38089 0.14256 31.48317 0.13830
1.38319 0.17827 42.18298 0.13835
1.38550 0.13155 28.15238 0.13839
1.38783 0.20775 50.99851 0.13844
1.39016 0.17098 39.95356 0.13849
1.39251 0.14535 32.25110 0.13854
1.39487 0.11581 23.37260 0.13859
1.39725 0.15775 35.94086 0.13864
1.39963 0.20911 51.33483 0.13869
1.40203 0.16245 37.32316 0.13874
1.40444 0.14335 31.57951 0.13879
1.40687 0.14164 31.05140 0.13884
1.40930 0.20130 48.93567 0.13889
1.41175 0.11501 23.03189 0.13894
1.41421 0.21913 54.25258 0.13899
1.41669 0.12019 24.55680 0.13904
1.41918 0.11587 23.24712 0.13909
1.42168 0.13986 30.42738 0.13914
1.42419 0.10754 20.71664 0.13919
1.42672 0.10853 20.99791 0.13925
1.42926 0.09879 18.06278 0.13930
1.43181 0.05894 6.09046 0.13935
1.43438 0.17509 40.92124 0.13940
1.43696 0.15444 34.71111 0.13946
1.43956 0.10496 19.84943 0.13951
1.44217 0.11408 22.56982 0.13957
1.44479 0.24661 62.31466 0.13962
1.44742 0.13669 29.32116 0.13967
1.45007 0.09151 15.75173 0.13973
1.45274 0.10723 20.45149 0.13978
1.45542 0.11863 23.85516 0.13984
1.45811 0.10996 21.23977 0.13989
1.46082 0.10132 18.63055 0.13995
1.46354 0.10700 20.31926 0.14001
1.46628 0.18672 44.21703 0.14006
1.46903 0.14760 32.46704 0.14012
1.47180 0.15985 36.12527 0.14018
1.47458 0.17858 41.72584 0.14024
1.47738 0.13653 29.09430 0.14029
1.48019 0.12762 26.40458 0.14035
1.48301 0.10491 19.57342 0.14041
1.48586 0.10738 20.29846 0.14047
1.48871 0.13540 28.68712 0.14053
1.49159 0.18452 43.40584 0.14059
1.49448 0.15537 34.64481 0.14065
1.49738 0.12981 26.95831 0.14071
1.50030 0.18495 43.48393 0.14077
1.50324 0.09377 16.11084 0.14083
1.50619 0.16569 37.66896 0.14089
1.50916 0.16232 36.64139 0.14095
1.51215 0.16081 36.16956 0.14101
1.51515 0.12567 25.61089 0.14107
1.51817 0.09284 15.74186 0.14114
1.52120 0.11614 22.71527 0.14120
1.52425 0.12039 23.97067 0.14126
1.52732 0.12408 25.05903 0.14132
1.53041 0.06788 8.18043 0.14139
1.53351 0.13892 29.47639 0.14145
1.53663 0.14402 30.98593 0.14152
1.53977 0.14070 29.97258 0.14158
1.54292 0.07030 8.83312 0.14165
1.54610 0.14381 30.86765 0.14171
1.54929 0.19290 45.57445 0.14178
1.55250 0.23436 57.99321 0.14184
1.55572 0.12866 26.26494 0.14191
1.55897 0.19164 45.13842 0.14198
1.56223 0.20258 48.40149 0.14205
1.56551 0.20408 48.83111 0.14211
1.56881 0.15709 34.71372 0.14218
1.57213 0.14934 32.36820 0.14225
1.57547 0.12780 25.88683 0.14232
1.57883 0.12327 24.50921 0.14239
1.58221 0.11782 22.85364 0.14246
1.58560 0.14741 31.70936 0.14253
1.58902 0.13947 29.30646 0.14260
1.59245 0.18742 43.67000 0.14267
1.59590 0.14058 29.59931 0.14274
1.59938 0.13452 27.76045 0.14281
1.60287 0.15038 32.49617 0.14289
1.60639 0.13501 27.86605 0.14296
1.60992 0.06403 6.55026 0.14303
1.61348 0.15772 34.63583 0.14310
1.61705 0.20419 48.55363 0.14318
1.62065 0.22037 53.38725 0.14325
1.62427 0.14599 31.05193 0.14333
1.62791 0.18076 41.46177 0.14340
1.63157 0.14501 30.71230 0.14348
1.63525 0.10835 19.69476 0.14355
1.63895 0.17596 39.95404 0.14363
1.64268 0.20089 47.41118 0.14371
1.64643 0.12835 25.62561 0.14379
1.65020 0.15322 33.06553 0.14386
1.65399 0.13507 27.59692 0.14394
1.65780 0.12853 25.61341 0.14402
1.66164 0.18787 43.38992 0.14410
1.66550 0.14213 29.64689 0.14418
1.66938 0.16932 37.77939 0.14426
1.67329 0.17973 40.87799 0.14434
1.67722 0.20795 49.32083 0.14442
1.68117 0.16165 35.40714 0.14450
1.68515 0.18865 43.48282 0.14459
1.68915 0.14713 31.00507 0.14467
1.69318 0.13412 27.07759 0.14475
1.69723 0.10269 17.62302 0.14483
1.70130 0.11022 19.85762 0.14492
1.70540 0.13171 26.28019 0.14500
1.70953 0.14269 29.54883 0.14509
1.71368 0.10595 18.50437 0.14517
1.71785 0.11564 21.38453 0.14526
1.72205 0.11034 19.76922 0.14535
1.72628 0.13299 26.54006 0.14543
1.73053 0.20445 47.95283 0.14552
1.73481 0.12038 22.70494 0.14561
1.73911 0.08863 13.15544 0.14570
1.74345 0.12079 22.77764 0.14579
1.74781 0.16302 35.42055 0.14588
1.75219 0.19492 44.96355 0.14597
1.75661 0.15493 32.93833 0.14606
1.76105 0.15454 32.79503 0.14615
1.76552 0.10105 16.72192 0.14625
1.77001 0.22214 53.02227 0.14634
1.77454 0.10095 16.63711 0.14643
1.77910 0.08853 12.88568 0.14653
1.78368 0.09480 14.73852 0.14662
1.78829 0.16449 35.61855 0.14672
1.79293 0.20644 48.17387 0.14681
1.79761 0.16105 34.52858 0.14691
1.80231 0.12839 24.70204 0.14701
1.80704 0.17431 38.45151 0.14710
1.81180 0.17545 38.76498 0.14720
1.81659 0.17188 37.66308 0.14730
1.82142 0.20711 48.20480 0.14740
1.82627 0.13794 27.42454 0.14750
1.83116 0.17044 37.14458 0.14760
1.83608 0.09382 14.12834 0.14770
1.84103 0.15932 33.74897 0.14781
1.84601 0.17651 38.87789 0.14791
1.85103 0.10994 18.87499 0.14801
1.85608 0.13516 26.41081 0.14812
1.86116 0.07835 9.33863 0.14822
1.86627 0.21910 51.53311 0.14833
1.87142 0.19583 44.52005 0.14843
1.87661 0.13629 26.62614 0.14854
1.88183 0.17627 38.59023 0.14865
1.88708 0.12050 21.82863 0.14876
1.89237 0.18460 41.02623 0.14887
1.89769 0.19448 43.95762 0.14898
1.90305 0.15175 31.10534 0.14909
1.90845 0.12100 21.84931 0.14920
1.91388 0.18516 41.06476 0.14931
1.91935 0.11884 21.13487 0.14942
1.92486 0.16009 33.47723 0.14954
1.93040 0.11693 20.49748 0.14965
1.93598 0.18859 41.96147 0.14977
1.94160 0.17396 37.53751 0.14988
1.94726 0.15456 31.68461 0.15000
1.95296 0.11679 20.32022 0.15012
1.95870 0.17302 37.15364 0.15024
1.96448 0.12515 22.75771 0.15036
1.97029 0.19640 44.09767 0.15048
1.97615 0.13689 26.21023 0.15060
1.98205 0.17010 36.13811 0.15072
1.98799 0.15701 32.17645 0.15084
1.99398 0.15814 32.47962 0.15097
2.00000 0.15253 30.75996 0.15109
2.00607 0.14767 29.26399 0.15121
2.01218 0.16298 33.82123 0.15134
2.01833 0.07067 6.08985 0.15147
2.02453 0.19081 42.09656 0.15160
2.03077 0.09821 14.27742 0.15173
2.03706 0.14334 27.77995 0.15186
2.04339 0.06752 4.99468 0.15199
2.04977 0.07093 5.97889 0.15212
2.05619 0.20812 47.09941 0.15225
2.06267 0.12815 23.06861 0.15238
2.06918 0.10748 16.82911 0.15252
2.07575 0.15515 31.08995 0.15265
2.08236 0.21540 49.12664 0.15279
2.08903 0.12942 23.29152 0.15293
2.09574 0.13465 24.82187 0.15307
2.10250 0.10706 16.50186 0.15321
2.10931 0.10562 16.02883 0.15335
2.11617 0.20168 44.80782 0.15349
2.12309 0.14772 28.57750 0.15363
2.13005 0.11350 18.26938 0.15378
2.13707 0.17898 37.87108 0.15392
2.14414 0.11767 19.43628 0.15407
2.15127 0.14890 28.76255 0.15421
2.15845 0.16489 33.51687 0.15436
2.16568 0.15886 31.66504 0.15451
