# sec(z), Tsys/Tatm, Tr, fit
1.34775 0.17805 42.32877 0.13484
1.34988 0.09817 18.35077 0.13489
1.35203 0.15966 36.78574 0.13494
1.35418 0.14833 33.37533 0.13498
1.35634 0.16759 39.13815 0.13503
1.35852 0.12956 27.71621 0.13508
1.36070 0.12782 27.18184 0.13513
1.36290 0.14427 32.10310 0.13517
1.36511 0.16451 38.16111 0.13522
1.36733 0.07998 12.78885 0.13527
1.36956 0.12256 25.55106 0.13532
1.37180 0.11396 22.95856 0.13537
1.37406 0.16834 39.25886 0.13542
1.37632 0.12609 26.56855 0.13547
1.37860 0.04853 3.28788 0.13552
1.38089 0.16328 37.69904 0.13557
1.38319 0.10035 18.80673 0.13562
1.38550 0.10217 19.33858 0.13567
1.38783 0.17261 40.45690 0.13572
1.39016 0.16588 38.42363 0.13577
1.39251 0.13494 29.12740 0.13582
1.39487 0.10049 18.77645 0.13587
1.39725 0.07932 12.41146 0.13592
1.39963 0.09998 18.59608 0.13597
1.40203 0.15261 34.37003 0.13603
1.40444 0.15181 34.11669 0.13608
1.40687 0.14632 32.45510 0.13613
1.40930 0.12271 25.35768 0.13618
1.41175 0.09624 17.40156 0.13624
1.41421 0.12307 25.43471 0.13629
1.41669 0.10407 19.71962 0.13635
1.41918 0.13286 28.34431 0.13640
1.42168 0.17609 41.29698 0.13645
1.42419 0.05632 5.35035 0.13651
1.42672 0.14552 32.09627 0.13656
1.42926 0.12761 26.70835 0.13662
1.43181 0.08150 12.85872 0.13668
1.43438 0.11668 23.39799 0.13673
1.43696 0.12306 25.29578 0.13679
1.43956 0.12567 26.06353 0.13684
1.44217 0.10981 21.28951 0.13690
1.44479 0.11009 21.35933 0.13696
1.44742 0.15792 35.69100 0.13701
1.45007 0.14767 32.60112 0.13707
1.45274 0.20305 49.19878 0.13713
1.45542 0.13689 29.33493 0.13719
1.45811 0.16094 36.53481 0.13725
1.46082 0.16848 38.77945 0.13731
1.46354 0.20818 50.67140 0.13737
1.46628 0.18332 43.19852 0.13743
1.46903 0.15526 34.76352 0.13749
1.47180 0.22868 56.77421 0.13755
1.47458 0.18268 42.95538 0.13761
1.47738 0.13287 27.99613 0.13767
1.48019 0.13072 27.33609 0.13773
1.48301 0.14385 31.25602 0.13779
1.48586 0.17677 41.11576 0.13785
